student_id,age,gender,class_grade,school_type,attendance_percentage,math_score,science_score,english_score,social_science_score,previous_grade_percentage,study_hours_per_day,homework_completion,learning_difficulty,internet_access,digital_device,parent_education,parent_occupation,annual_family_income,family_size,distance_to_school_km,transportation,scholarship_received,mentoring_support,extracurricular_participation,health_issue,dropout_history_in_family,motivation_level,teacher_assessment,Target
753,16,Female,8,Private,68.2,95,43,63,63,67.8,3,67,Yes,No,Shared Phone,None,Farmer,341646,6,2.8,Bus,Yes,No,No,No,No,Medium,Medium,On Track
754,15,Male,10,Private,51.2,60,72,98,88,75.9,3.2,61.7,Yes,Yes,Laptop,None,Labourer,95395,6,7.7,Bus,No,No,Yes,No,Yes,High,Low,At Risk
755,18,Other,12,NGO,69.4,75,95,58,59,68.9,2.1,63.2,Yes,No,None,Primary,Service,44419,2,3,Walk,Yes,Yes,No,Yes,No,Medium,Low,At Risk
756,14,Male,7,NGO,98.3,63,38,51,59,56.7,3.9,80.7,No,No,Laptop,Primary,Service,43839,7,9,Bus,No,No,No,Yes,Yes,Low,Low,At Risk
757,12,Female,9,NGO,65.4,60,100,39,37,60.2,4.4,51.7,Yes,Yes,Smartphone,Graduate,Service,54764,3,2.9,Bicycle,Yes,No,Yes,No,No,High,Medium,On Track
758,12,Male,7,Government,60.9,63,57,52,83,59.7,3.4,73.5,Yes,Yes,Smartphone,Graduate,Service,315691,2,2.4,Bicycle,Yes,No,No,Yes,Yes,High,Medium,On Track
759,12,Male,5,Private,46.7,72,60,80,83,76,0.9,55.2,No,Yes,None,Secondary,Labourer,283713,3,5.1,Bus,No,No,Yes,Yes,No,Low,Low,Dropout
760,13,Female,12,Private,49.9,34,87,51,50,51.4,1.6,86.9,Yes,No,None,Graduate,Self-employed,299844,7,6.2,Walk,Yes,Yes,No,Yes,Yes,Low,Low,At Risk
761,18,Female,6,Government,71.1,30,88,62,69,59.7,0.8,98.5,Yes,No,Smartphone,Primary,Labourer,136294,4,2.9,Bus,Yes,No,No,Yes,Yes,Low,High,On Track
762,10,Female,9,NGO,61.8,87,90,53,78,78.2,1.6,42.8,No,No,None,Primary,Self-employed,108445,7,8.4,Bus,No,No,Yes,No,No,Low,High,At Risk
763,15,Female,10,NGO,51.2,34,46,43,43,42.2,1.1,96.9,Yes,Yes,Laptop,Graduate,Service,189702,3,3.4,Bicycle,No,No,Yes,Yes,No,Medium,High,At Risk
764,14,Other,12,NGO,59.2,95,59,86,41,75,1.1,32.3,No,Yes,None,Graduate,Labourer,197693,5,9.2,Bus,Yes,Yes,Yes,Yes,No,Medium,High,On Track
765,13,Male,9,Government,74.7,95,85,64,87,87.2,0.7,41,Yes,No,Smartphone,Secondary,Labourer,266331,3,11.2,Bicycle,Yes,Yes,Yes,Yes,No,High,Low,On Track
766,15,Other,5,NGO,93.3,57,30,37,32,34.2,3.4,47.4,No,No,Laptop,Primary,Farmer,98316,2,3.9,Bicycle,Yes,Yes,Yes,Yes,Yes,High,High,On Track
767,16,Other,7,Private,90.1,47,93,55,88,73.2,3.7,67.2,No,Yes,Laptop,None,Service,324047,4,5.9,Walk,No,No,Yes,Yes,No,High,Low,On Track
768,13,Male,8,NGO,68.9,42,61,87,40,61.8,3.4,36,Yes,No,Smartphone,Secondary,Self-employed,302798,8,12.7,Walk,No,Yes,Yes,No,Yes,Low,Low,At Risk
769,15,Other,8,Government,60.3,82,33,87,71,67,3.7,71.8,No,No,Laptop,Graduate,Self-employed,271534,7,10.9,Walk,Yes,Yes,Yes,Yes,Yes,Low,Low,At Risk
770,13,Male,12,Private,77.8,66,30,49,80,52.7,3.4,65.1,Yes,No,Smartphone,Secondary,Self-employed,111273,3,14.3,Walk,Yes,No,No,No,Yes,Medium,High,On Track
771,10,Male,9,Government,49.8,42,47,100,72,61.3,1.1,59.3,Yes,Yes,Smartphone,Secondary,Farmer,335940,5,9.1,Walk,No,Yes,Yes,No,No,High,Medium,On Track
772,16,Other,5,Private,48,46,61,96,48,62.3,0.7,80.6,Yes,Yes,Shared Phone,Graduate,Self-employed,75989,2,7.6,Bicycle,Yes,No,No,No,Yes,Low,Low,Dropout
773,14,Female,9,NGO,66,35,69,52,48,55.8,2.8,45.3,No,No,None,None,Labourer,86196,7,4.8,Walk,Yes,No,No,Yes,No,Low,Medium,At Risk
774,18,Female,11,Private,49.6,82,98,51,50,74.7,4.7,82.5,Yes,No,Shared Phone,Graduate,Service,277535,3,12.9,Bicycle,No,Yes,Yes,No,No,Medium,High,On Track
775,18,Female,12,Private,73.1,64,67,90,89,80.8,4.1,70.5,Yes,No,None,None,Labourer,256416,3,3.7,Bicycle,No,Yes,Yes,No,Yes,High,High,On Track
776,14,Other,11,Private,93.3,78,100,49,44,64.3,2.3,74.6,No,No,Shared Phone,Secondary,Self-employed,174625,7,12.3,Walk,Yes,Yes,Yes,No,Yes,Medium,High,On Track
777,18,Female,6,Government,74.2,89,61,30,84,63.3,1.7,77.4,No,Yes,None,Secondary,Self-employed,347592,8,1.7,Walk,Yes,No,Yes,Yes,Yes,Medium,Medium,On Track
778,12,Other,10,NGO,62.1,65,40,53,61,58.4,1.2,58.1,No,No,None,Primary,Service,300398,2,14.8,Walk,Yes,Yes,Yes,Yes,Yes,High,High,On Track
779,11,Female,12,Government,75.3,36,40,41,65,40.8,0.6,50.8,No,Yes,Shared Phone,None,Farmer,300247,7,11.4,Walk,No,Yes,No,Yes,No,High,High,On Track
780,11,Male,9,NGO,91.5,89,97,72,76,87.7,4,35.4,No,No,Shared Phone,Secondary,Service,317929,6,11.2,Bicycle,Yes,Yes,Yes,No,Yes,Low,Medium,On Track
781,13,Male,12,NGO,51.2,83,43,84,33,61.3,3.3,84.5,No,Yes,Shared Phone,Primary,Labourer,348322,5,5.2,Walk,No,No,Yes,No,No,Medium,Medium,On Track
782,18,Male,6,Private,94.5,30,53,66,100,57.4,4.5,68.4,No,No,None,None,Labourer,128980,3,14.6,Walk,No,No,No,Yes,No,Low,Low,At Risk
783,16,Male,10,NGO,91.6,63,80,90,32,65.1,2.9,77.8,Yes,No,None,Primary,Farmer,343072,8,6.2,Bicycle,Yes,No,Yes,No,Yes,Low,Medium,On Track
784,10,Female,12,NGO,96,57,55,76,35,60.5,5.8,75.4,No,Yes,Smartphone,Primary,Farmer,98985,3,0.5,Bicycle,Yes,Yes,Yes,No,Yes,Medium,High,On Track
785,10,Male,10,Government,92.2,35,48,42,77,54.6,2.6,80.4,No,No,Laptop,Primary,Farmer,161156,4,0.5,Walk,Yes,No,No,No,No,Medium,High,On Track
786,14,Other,7,Private,72,84,45,70,90,69.7,2.4,82.1,Yes,Yes,None,Graduate,Service,298305,6,1.7,Bicycle,Yes,No,No,Yes,No,Low,Low,At Risk
787,10,Female,12,Government,53.8,79,32,49,67,59.6,2.9,81.7,No,No,Laptop,Graduate,Farmer,285662,5,3.2,Bus,Yes,Yes,No,Yes,No,Medium,Low,At Risk
788,16,Other,9,Private,86.5,91,98,59,91,86.4,0.8,36.8,No,No,Shared Phone,None,Service,137366,7,2.9,Walk,No,No,Yes,Yes,No,Low,Medium,On Track
789,14,Other,11,Government,82.7,81,48,87,53,67.8,5.1,99.8,No,No,Laptop,Secondary,Labourer,111359,5,14.2,Bus,No,Yes,Yes,No,Yes,High,Medium,On Track
790,18,Other,11,Private,71.2,47,75,46,57,60.2,2.9,65.3,No,Yes,Laptop,None,Self-employed,178016,8,3.7,Walk,Yes,No,No,Yes,Yes,Low,Low,At Risk
791,17,Female,8,Private,76.8,40,71,87,84,75,4.8,52,No,No,Laptop,None,Labourer,288349,5,12.8,Bus,No,No,Yes,Yes,No,High,Medium,On Track
792,12,Female,7,NGO,71.2,81,46,88,56,64.6,4.4,42.3,Yes,No,None,None,Farmer,79327,5,1.8,Walk,No,No,Yes,No,Yes,High,Medium,On Track
793,18,Other,10,NGO,51.3,64,100,81,100,83.6,2.6,95.8,No,Yes,Shared Phone,Primary,Farmer,138136,2,15,Bicycle,Yes,Yes,Yes,No,No,High,Medium,On Track
794,17,Male,6,Private,48.3,99,33,39,87,64.1,5.4,31.4,Yes,Yes,Laptop,Primary,Labourer,273648,3,2.9,Bicycle,No,Yes,Yes,No,No,High,Low,At Risk
795,16,Other,8,NGO,91.9,86,50,65,86,71.1,1.8,68.9,Yes,Yes,Laptop,Secondary,Self-employed,176372,2,10.5,Walk,Yes,Yes,Yes,Yes,No,Medium,High,On Track
796,12,Male,12,Private,54.9,41,50,45,79,51,4.1,50.9,No,Yes,Shared Phone,Graduate,Labourer,260086,6,9.7,Bicycle,No,No,Yes,No,No,High,Medium,On Track
797,15,Other,5,Government,69.9,30,94,99,85,75,0.5,82.4,No,No,None,Primary,Labourer,63380,3,11.6,Bicycle,Yes,Yes,No,Yes,Yes,High,Low,At Risk
798,14,Female,9,Private,74.8,34,58,52,50,47,1.6,44.4,Yes,Yes,Shared Phone,Secondary,Farmer,75250,2,9.3,Bus,Yes,Yes,Yes,No,No,Medium,High,On Track
799,15,Male,5,Government,57.4,81,94,100,66,87.2,1.6,43.6,Yes,Yes,Shared Phone,Secondary,Farmer,169126,4,8.6,Bus,Yes,No,Yes,Yes,Yes,High,Medium,On Track
800,14,Female,9,Private,50,37,86,72,80,66.9,5.3,72.1,Yes,Yes,None,Primary,Self-employed,167258,6,5.7,Walk,No,No,Yes,Yes,No,Low,Low,At Risk
801,12,Female,9,Private,80.3,56,87,73,42,65.4,1.5,61.2,Yes,Yes,Laptop,Secondary,Labourer,161697,7,12.8,Bus,Yes,No,No,No,No,Medium,Medium,On Track
802,11,Male,7,Private,83.6,84,45,87,59,64,3.6,41.1,No,No,Shared Phone,Secondary,Labourer,72025,8,5.1,Walk,Yes,Yes,No,Yes,No,High,Low,On Track
803,13,Male,7,NGO,50.5,43,68,60,36,51.9,2.9,94.2,No,Yes,Smartphone,Graduate,Labourer,106505,7,12.3,Bus,No,No,No,Yes,Yes,Low,Low,At Risk
804,10,Male,9,Private,87.4,91,93,35,85,75.9,2.6,70.2,Yes,Yes,Shared Phone,Graduate,Service,225750,7,8.2,Bicycle,No,Yes,No,No,Yes,High,Low,On Track
805,18,Female,10,Private,80,75,97,97,54,84,3.5,98.1,No,No,Laptop,Primary,Service,252090,3,9.9,Walk,Yes,Yes,No,No,Yes,High,High,On Track
806,15,Male,10,NGO,49.4,80,51,50,52,55.1,2.4,82.8,Yes,No,Laptop,Primary,Self-employed,197221,3,9.8,Walk,Yes,No,Yes,Yes,Yes,High,Medium,On Track
807,14,Female,6,Government,60.8,52,31,31,83,48.2,5.1,61,Yes,No,Laptop,None,Labourer,177508,2,7.3,Bicycle,Yes,No,Yes,Yes,Yes,High,Medium,At Risk
808,11,Male,5,Private,85.6,40,58,61,77,61.6,3.5,42.4,Yes,No,Laptop,None,Farmer,85531,6,2.3,Bicycle,No,Yes,Yes,No,No,Low,High,On Track
809,14,Female,11,Government,51.1,83,37,90,85,77.5,2.7,45.3,No,Yes,None,Secondary,Service,159678,8,6.5,Walk,Yes,No,Yes,Yes,Yes,Low,Medium,At Risk
810,13,Female,11,NGO,51.3,63,66,41,85,61.7,5.7,80.1,No,No,Smartphone,Secondary,Service,100976,6,5.6,Bicycle,No,Yes,Yes,No,Yes,Low,Medium,At Risk
811,14,Male,9,Government,54.9,35,65,84,38,55.2,5.2,37,No,Yes,None,Graduate,Labourer,336029,4,8.5,Bicycle,Yes,Yes,No,No,No,Medium,High,On Track
812,11,Female,12,Government,54.3,64,74,84,72,76.5,3.3,57.2,No,No,None,Primary,Service,228185,6,8.6,Bicycle,No,No,No,Yes,Yes,High,Low,At Risk
813,18,Other,11,NGO,85.4,64,38,31,30,41.7,1.7,91.2,No,No,Smartphone,Primary,Farmer,87904,8,12,Bus,No,No,Yes,No,Yes,Low,Medium,At Risk
814,14,Female,11,NGO,47.7,92,82,42,67,68,3.3,93.5,No,No,Shared Phone,Graduate,Self-employed,66858,5,4,Bicycle,No,No,No,Yes,No,Low,High,At Risk
815,13,Female,11,Private,75.4,38,77,68,41,56.2,5,82.3,Yes,Yes,Shared Phone,Graduate,Farmer,289234,7,6.9,Bus,Yes,Yes,No,Yes,No,Low,High,On Track
816,13,Male,10,Private,67.7,84,34,73,34,53.5,1.9,48.7,No,Yes,Shared Phone,None,Service,247805,7,11.9,Walk,No,No,Yes,Yes,Yes,High,Low,At Risk
817,16,Female,11,Government,93.8,90,65,40,32,59.5,3,75.3,No,No,Shared Phone,Secondary,Self-employed,64479,7,12.2,Bus,No,No,No,No,Yes,Low,High,On Track
818,15,Male,10,Government,91.6,68,47,47,45,53.7,0.8,75.4,No,Yes,Laptop,Graduate,Service,55592,8,2.6,Bus,No,No,Yes,No,Yes,Low,Low,At Risk
819,12,Female,6,Government,82,98,50,92,45,71.9,2.8,52.6,Yes,Yes,Laptop,None,Service,279883,6,4.5,Walk,No,Yes,Yes,Yes,Yes,Medium,High,On Track
820,13,Female,10,NGO,61.6,32,44,66,75,57,3.9,59.3,Yes,No,Shared Phone,None,Labourer,218246,4,3.6,Bus,Yes,No,No,Yes,Yes,Low,Medium,At Risk
821,12,Female,6,NGO,70.6,98,44,83,90,78.8,5.6,57,No,No,Shared Phone,None,Labourer,220218,8,9.9,Walk,Yes,Yes,No,Yes,Yes,Medium,High,On Track
822,17,Other,5,Government,51.3,36,49,82,68,54.2,5.3,44.3,Yes,Yes,Laptop,Primary,Self-employed,250822,8,4.6,Bus,Yes,Yes,No,Yes,Yes,High,Medium,On Track
823,17,Other,7,Government,73.4,73,53,89,65,65.9,2.8,30.2,Yes,No,None,Primary,Labourer,287593,8,0.4,Bus,No,No,Yes,No,Yes,Low,Low,At Risk
824,12,Other,11,Private,55.7,63,65,64,57,60.5,3.8,74.1,Yes,No,Smartphone,Graduate,Labourer,43077,4,2.6,Bicycle,Yes,Yes,Yes,No,Yes,Low,High,At Risk
825,11,Female,7,Private,97.6,88,76,61,31,60.8,5.5,69.9,No,Yes,Shared Phone,Graduate,Labourer,275331,8,11.5,Bus,Yes,Yes,No,Yes,No,Medium,Low,On Track
826,15,Other,8,Private,83.4,84,62,94,40,72,5,85.3,No,Yes,Shared Phone,Graduate,Service,182594,3,7.9,Bicycle,Yes,Yes,No,No,Yes,Medium,High,On Track
827,13,Male,7,NGO,57.7,34,78,81,89,71.5,3.9,67,No,Yes,Shared Phone,Secondary,Farmer,344861,4,3,Bus,No,No,No,Yes,Yes,High,Low,At Risk
828,16,Other,7,Private,45.6,83,80,39,88,77,3.6,58.6,Yes,No,Laptop,Primary,Service,348274,6,7.8,Bus,Yes,Yes,No,No,Yes,Medium,High,On Track
829,15,Female,11,Government,45.7,45,61,62,97,63,3.4,90.7,No,Yes,None,Secondary,Farmer,144932,2,13.5,Bicycle,Yes,Yes,No,Yes,No,Low,Low,At Risk
830,16,Other,7,Private,91.2,38,69,59,34,53.7,4.5,69.5,Yes,No,None,None,Labourer,147020,2,9,Bus,No,No,No,No,No,Low,High,On Track
831,14,Male,7,NGO,85.8,47,67,31,72,55.5,4.4,40.6,Yes,Yes,Smartphone,Primary,Self-employed,56242,6,13.6,Bicycle,No,No,Yes,Yes,No,Medium,High,On Track
832,16,Male,7,Private,93.4,40,90,76,61,68,0.5,73.1,No,Yes,Laptop,Secondary,Service,291811,4,2,Walk,No,Yes,No,Yes,Yes,Low,Medium,On Track
833,13,Other,12,Government,81.3,70,81,42,31,51.5,3.2,43.8,Yes,Yes,Laptop,Secondary,Farmer,72563,3,10.5,Bus,No,Yes,Yes,Yes,No,Low,High,On Track
834,13,Female,8,Government,70.3,54,68,53,67,64,2.2,89.3,No,Yes,Smartphone,Graduate,Labourer,266100,4,14.8,Walk,No,Yes,No,No,No,High,High,On Track
835,11,Male,6,NGO,88.3,34,75,41,91,62.2,5.8,41.7,No,Yes,Smartphone,Secondary,Self-employed,241078,6,0.2,Bicycle,No,Yes,Yes,Yes,No,Low,High,On Track
836,17,Female,9,Private,59.9,80,76,61,44,69.5,0.8,64.4,No,Yes,None,Secondary,Farmer,45928,6,4.3,Walk,Yes,Yes,Yes,Yes,Yes,High,Medium,At Risk
837,11,Male,5,NGO,82.5,78,80,50,35,58.1,2.5,87.5,No,No,None,Graduate,Self-employed,320063,2,14.6,Bicycle,Yes,Yes,No,No,Yes,Medium,Medium,On Track
838,13,Male,8,Government,63.8,83,46,55,37,59.6,3.8,62.8,No,Yes,None,Graduate,Farmer,295528,6,10.5,Walk,No,Yes,No,Yes,Yes,Low,High,At Risk
839,11,Other,8,Private,82.4,48,79,78,42,57.7,3.5,68.7,Yes,No,Shared Phone,Graduate,Farmer,166337,4,14.9,Bus,Yes,Yes,Yes,Yes,Yes,Low,High,On Track
840,15,Other,8,Government,78,90,30,90,91,79.8,2.5,49.5,No,Yes,Shared Phone,Primary,Self-employed,81905,7,3.8,Bicycle,Yes,No,No,No,No,Medium,Medium,On Track
841,16,Female,7,Government,93,53,61,71,78,70,2.5,98.3,Yes,No,None,Secondary,Labourer,48621,5,7.9,Walk,No,Yes,No,Yes,No,Medium,High,On Track
842,13,Male,5,NGO,66.8,60,85,31,77,58.7,4.5,92.1,Yes,No,Smartphone,None,Farmer,325746,3,1.1,Bus,Yes,Yes,Yes,Yes,Yes,Low,High,At Risk
843,15,Other,7,NGO,46.3,63,73,50,55,62.9,3,56,No,No,Shared Phone,None,Service,341191,2,2.2,Bicycle,No,Yes,No,No,No,Low,Low,At Risk
844,15,Other,9,Private,89.6,47,35,70,66,57,5.8,49.7,No,No,Shared Phone,None,Self-employed,105198,7,5.4,Walk,Yes,Yes,No,No,No,High,High,On Track
845,16,Other,11,Private,53.6,51,77,49,45,55.4,3.2,52,No,No,None,Primary,Farmer,254113,5,0.4,Bicycle,No,Yes,Yes,No,No,Low,Medium,At Risk
846,10,Female,7,Government,55.8,38,76,94,76,66.3,2.6,43.9,Yes,Yes,Laptop,Primary,Self-employed,87273,6,6.7,Walk,No,No,No,Yes,Yes,Low,Medium,At Risk
847,14,Female,9,Government,49.1,61,71,69,86,72.4,0.8,56.3,No,No,Shared Phone,None,Farmer,207706,8,9.7,Bus,Yes,No,No,No,No,Medium,High,On Track
848,16,Other,8,NGO,68.6,79,45,100,60,67.9,2.3,72.5,No,No,Laptop,None,Service,236217,8,7.2,Bus,Yes,No,Yes,No,Yes,Low,Low,At Risk
849,10,Male,6,NGO,76,50,33,76,85,60.9,1.7,89.5,Yes,No,Shared Phone,Primary,Labourer,150275,4,3.8,Walk,No,No,No,No,No,Medium,Low,On Track
850,12,Male,9,Private,54.1,90,60,50,58,66.7,5.3,75.6,Yes,Yes,Shared Phone,Primary,Labourer,51372,3,11.5,Walk,No,Yes,No,No,Yes,High,Low,At Risk
851,13,Female,9,NGO,72.2,39,97,49,31,57,3.2,87.4,Yes,No,Smartphone,Secondary,Farmer,106499,3,8.4,Walk,Yes,No,Yes,Yes,Yes,Medium,Medium,On Track
852,16,Other,9,NGO,99.2,57,49,53,85,65.9,4.5,40.5,Yes,No,Laptop,Graduate,Farmer,284770,5,6.1,Bicycle,Yes,Yes,No,Yes,No,Low,Medium,On Track
853,10,Male,8,Private,75.7,36,60,78,34,50.4,2.2,73.7,No,Yes,Smartphone,None,Self-employed,59709,2,10.2,Bicycle,No,No,No,No,Yes,High,Low,On Track
854,16,Female,12,Private,68.1,77,30,85,50,55.6,0.7,79.5,Yes,No,Laptop,Secondary,Service,255809,7,8.9,Walk,No,Yes,Yes,No,No,High,Medium,On Track
855,11,Male,9,NGO,77.9,94,84,34,70,73.6,0.6,49.7,Yes,Yes,Laptop,Graduate,Self-employed,195503,5,1.7,Walk,Yes,Yes,Yes,Yes,Yes,Low,High,On Track
856,15,Other,9,Government,75.9,73,59,62,32,51.5,0.9,78,No,Yes,Shared Phone,Primary,Self-employed,318425,5,10.8,Bus,No,No,No,Yes,Yes,Medium,Low,On Track
857,12,Female,8,NGO,69.8,99,91,37,72,76.3,5.8,50.3,No,Yes,Laptop,None,Self-employed,144820,5,0.6,Bus,No,No,No,No,No,Medium,Medium,On Track
858,14,Female,11,Private,55.6,99,60,30,86,65.3,2.7,38.4,Yes,Yes,Laptop,None,Self-employed,241426,4,11,Bus,Yes,No,No,No,No,Low,Low,At Risk
859,17,Other,11,Government,62.7,75,93,75,42,76.2,1.4,62.9,No,Yes,None,None,Self-employed,242592,7,1.1,Walk,No,No,No,No,No,High,Medium,On Track
860,14,Male,10,Private,50.9,52,62,68,63,56.9,3.3,72.8,No,Yes,Shared Phone,Primary,Service,145691,8,0.8,Walk,No,No,No,Yes,Yes,Low,High,At Risk
861,16,Other,8,Government,47.5,68,64,49,57,59.6,2.8,42.1,No,Yes,Shared Phone,None,Service,185740,7,1.2,Bus,Yes,Yes,No,No,No,Medium,High,On Track
862,12,Female,9,NGO,63.5,49,64,44,56,51.9,3.9,66.9,No,No,None,Graduate,Farmer,147292,6,5,Bus,No,No,Yes,No,Yes,High,Medium,On Track
863,15,Other,5,Government,52.7,85,30,51,62,54.7,4.1,86.6,Yes,Yes,None,Secondary,Service,318106,3,12.7,Walk,No,Yes,Yes,Yes,Yes,High,Medium,On Track
864,17,Other,12,NGO,70.9,98,85,88,76,87.8,5.8,38,No,Yes,Laptop,Secondary,Labourer,314035,8,9.2,Bus,Yes,Yes,No,No,Yes,Low,High,On Track
865,16,Male,7,NGO,58.5,58,51,84,33,58.9,2.5,68.4,No,Yes,Laptop,Graduate,Farmer,291954,5,6.2,Bus,Yes,No,Yes,Yes,No,Low,Medium,At Risk
866,11,Male,6,Government,70.8,94,49,67,48,68.4,5,87.5,No,No,None,Graduate,Service,120091,2,6.9,Bus,Yes,Yes,Yes,Yes,Yes,Medium,High,On Track
867,13,Female,12,Private,82.4,37,34,84,70,59.5,5.3,80,No,Yes,Smartphone,Graduate,Service,274161,4,4.8,Bus,No,No,Yes,Yes,No,Low,High,On Track
868,13,Other,12,Government,73.3,75,38,71,93,70.3,3.6,51.2,No,Yes,Laptop,Primary,Labourer,305042,2,10.3,Bicycle,No,No,Yes,Yes,Yes,Medium,Low,On Track
869,16,Other,6,Government,54.9,33,72,41,100,65.3,3.5,40.8,No,Yes,Shared Phone,None,Farmer,296090,2,6.9,Walk,No,Yes,Yes,No,Yes,Medium,High,On Track
870,18,Other,7,NGO,66.3,59,58,65,95,70.9,5.2,76.3,No,Yes,Shared Phone,Secondary,Service,63193,8,7.9,Bus,No,No,Yes,Yes,No,Medium,Medium,On Track
871,15,Male,12,Private,45.7,92,86,60,42,72.7,5.1,76.1,Yes,Yes,Smartphone,Secondary,Labourer,218396,7,1.6,Bicycle,No,Yes,Yes,No,No,Medium,High,On Track
872,14,Other,5,Private,62.1,95,98,56,43,77.7,2.2,51.6,No,Yes,None,Primary,Farmer,158919,4,9.5,Bicycle,Yes,No,Yes,Yes,No,Low,Medium,At Risk
873,17,Female,12,Government,74.6,48,59,68,64,58.3,3.3,48.4,No,No,None,Primary,Labourer,261909,6,4.9,Walk,No,No,No,Yes,Yes,Low,Low,At Risk
874,15,Male,12,Government,65.1,50,48,86,59,56.8,2.7,69.2,Yes,Yes,Shared Phone,None,Labourer,213763,4,1.5,Bus,No,No,No,Yes,No,High,Low,At Risk
875,14,Other,8,Private,77.1,79,33,89,56,62.2,4.9,89.3,No,No,Shared Phone,None,Self-employed,221076,7,14,Bus,No,No,Yes,No,Yes,High,Low,On Track
876,17,Other,5,NGO,63.5,50,51,39,95,60.4,2.7,68.6,No,Yes,Shared Phone,Secondary,Self-employed,183370,8,8.5,Bus,No,No,No,No,No,High,Low,At Risk
877,10,Male,7,Private,77.5,46,98,81,66,74.4,6,98,Yes,Yes,Laptop,Secondary,Service,55503,5,7,Bus,Yes,No,No,No,No,Low,High,On Track
878,16,Female,6,Private,45.1,70,80,60,65,65.5,5.7,32.2,Yes,Yes,Shared Phone,Secondary,Labourer,348482,5,7.4,Bus,Yes,Yes,Yes,Yes,No,Low,High,At Risk
879,17,Male,6,Private,63,68,65,81,45,62.5,0.6,41.5,Yes,No,None,Graduate,Farmer,199407,2,8.3,Walk,No,No,No,Yes,No,Medium,Medium,On Track
880,13,Female,6,Government,76.2,75,78,72,75,75.8,1.4,42.8,No,No,Smartphone,None,Labourer,196568,7,12.1,Bicycle,Yes,Yes,Yes,Yes,No,Low,High,On Track
881,14,Other,9,NGO,93.1,81,91,48,53,68.6,3.4,70.1,No,No,Shared Phone,Primary,Farmer,74657,4,10.4,Bicycle,No,No,Yes,Yes,No,Medium,Medium,On Track
882,11,Female,6,Private,59.3,88,97,96,89,93.4,2.2,34.4,Yes,No,None,Secondary,Farmer,189639,6,3.1,Bus,No,Yes,No,Yes,Yes,Medium,High,On Track
883,11,Other,12,Private,98.1,40,69,56,40,49.5,5.7,47.5,No,No,Laptop,Primary,Farmer,94465,2,9.3,Bicycle,No,Yes,No,No,No,High,Low,At Risk
884,12,Male,10,Government,86.9,36,82,100,30,58.4,2.9,70.5,Yes,Yes,None,Secondary,Labourer,178033,3,1,Bus,Yes,Yes,No,No,No,Low,Medium,On Track
885,10,Other,10,NGO,95.4,47,51,66,42,47.5,4.8,31.9,No,No,None,None,Labourer,205170,2,1.6,Bicycle,No,Yes,No,Yes,Yes,Medium,High,On Track
886,18,Male,7,NGO,52.1,47,65,34,34,49.9,1.8,98.4,Yes,Yes,Shared Phone,None,Farmer,235264,8,1.3,Walk,Yes,No,No,No,Yes,High,Low,At Risk
887,13,Female,6,Government,55.6,52,76,53,96,68,5.9,85.8,Yes,Yes,Smartphone,Secondary,Service,255860,4,11.6,Bicycle,No,No,No,No,Yes,Low,Low,At Risk
888,12,Other,9,NGO,77.1,85,84,54,64,68.5,0.8,86.7,No,Yes,Laptop,Graduate,Self-employed,288278,3,9.4,Walk,No,Yes,No,No,Yes,High,High,On Track
889,15,Female,7,Private,99.9,81,77,72,38,64.7,4.7,57.3,Yes,No,Shared Phone,None,Labourer,258395,3,6.2,Bus,No,No,No,Yes,No,Low,Medium,On Track
890,17,Female,9,NGO,95.8,80,85,70,59,71.9,3.6,78.9,No,Yes,Smartphone,Primary,Labourer,120790,4,1.7,Bicycle,Yes,No,Yes,Yes,No,High,Medium,On Track
891,16,Male,8,Private,86,100,58,71,64,70.4,4.1,58.8,No,No,Shared Phone,None,Service,256509,6,9.7,Bus,No,Yes,Yes,No,Yes,High,High,On Track
892,15,Female,8,Government,82.1,94,40,42,80,68,3.3,43.8,No,Yes,None,Primary,Service,52122,7,2.7,Walk,Yes,No,Yes,No,No,Medium,Low,On Track
893,17,Male,5,NGO,75.6,47,79,65,56,57.9,5.9,98.5,No,Yes,Smartphone,Graduate,Labourer,248069,5,12.7,Bicycle,No,Yes,No,No,Yes,High,Medium,On Track
894,13,Female,6,Private,70.3,68,31,57,80,62.2,1.9,89.3,Yes,Yes,Shared Phone,Graduate,Farmer,240942,5,10.3,Bus,No,No,Yes,Yes,No,Low,High,On Track
895,13,Male,6,Private,46.8,79,43,51,74,64.6,3.6,38,Yes,No,None,None,Service,142072,8,7.3,Walk,Yes,Yes,No,Yes,No,Medium,Medium,On Track
896,10,Other,9,Government,49.9,37,39,85,93,64.5,0.7,99.6,Yes,Yes,Laptop,None,Farmer,188334,3,8,Bicycle,Yes,Yes,No,Yes,No,Low,Medium,At Risk
897,18,Male,5,Private,86.1,39,35,61,67,46.9,5.8,83.9,No,No,Smartphone,Secondary,Farmer,121755,7,7.3,Bus,Yes,Yes,Yes,No,Yes,Medium,Low,At Risk
898,13,Other,11,NGO,48.2,71,91,42,41,64.2,1.1,91.4,Yes,No,None,Primary,Farmer,199097,4,1.6,Walk,Yes,No,No,No,No,Low,High,At Risk
899,12,Female,12,NGO,96.4,39,57,85,90,71.2,2.5,56.6,No,Yes,None,Primary,Farmer,330512,7,14.8,Walk,Yes,Yes,No,Yes,Yes,High,Medium,On Track
